009042aca5ff862636b78cb852568fd0862272970a8411b276bfc3071bff11dc,2017-02,West Midlands Police,West Midlands Police,-1.958701,52.477771,On or near Bernard Road,E01009138,Birmingham 060A,Possession of weapons,Court result unavailable,
10a46084e6a7b738163a523d22d4ef9328e7bc4485dd1bfac9b68fcc35ff0b8d,2017-02,West Midlands Police,West Midlands Police,-1.834568,52.478085,On or near Belchers Lane,E01009342,Birmingham 063D,Possession of weapons,Awaiting court outcome,
618fb9b3d7aff1f4fa12c66a7bc4b6ec0075e2d3f272da5f9b3fef959190d9c7,2017-02,West Midlands Police,West Midlands Police,-1.827531,52.477877,On or near Hospital,E01009341,Birmingham 066E,Possession of weapons,Defendant found not guilty,
f5353a3dd8c83f5d6eb29c861b09733d4102d4aceba024fdbd8090463ba87c67,2017-02,West Midlands Police,West Midlands Police,-1.825579,52.476175,On or near Brailes Grove,E01009341,Birmingham 066E,Possession of weapons,Unable to prosecute suspect,
aeb7dde0282314f9d0a2d969b95e43a79eb9b4e6f3a0ab97e565f3224577f00a,2017-02,West Midlands Police,West Midlands Police,-1.867827,52.468355,On or near Bolton Road,E01009379,Birmingham 071E,Possession of weapons,Offender sent to prison,
0ee57efb2910986191f5cc6677e287e71d0cfae707f27a5acd1dc6a332c274b1,2017-02,West Midlands Police,West Midlands Police,-1.911512,52.470876,On or near Pedestrian Subway,E01008994,Birmingham 074B,Possession of weapons,Unable to prosecute suspect,
ef2f953cbee27091fdcdec6d58ccce39936dc300633aa0ecd2e1673d8e12c2c1,2017-02,West Midlands Police,West Midlands Police,-1.812045,52.463299,On or near Ash Tree Drive,E01008886,Birmingham 076B,Possession of weapons,Offender sent to prison,
d30951f8105d1c733716cb8be0adc8ba5a727bf0ca05f3d9d95db33a250d47aa,2017-02,West Midlands Police,West Midlands Police,-1.824360,52.464271,On or near Kathleen Road,E01008883,Birmingham 078A,Possession of weapons,Unable to prosecute suspect,
7940353bd9291c31e3717c974621e953c99104c237bcab0f64a02ced1713e2f7,2017-02,West Midlands Police,West Midlands Police,-1.829740,52.462346,On or near Ada Road,E01008884,Birmingham 078B,Possession of weapons,Offender given suspended prison sentence,
1c11bb08d66cd2a4dbfbd56fc7c39eb989a53424ace9d90279a7b92306553a93,2017-02,West Midlands Police,West Midlands Police,-1.892535,52.459255,On or near Wilmcote Close,E01009366,Birmingham 084A,Possession of weapons,Offender given suspended prison sentence,
